pid,year,Abies balsamifera,Acer saccharum,Betula papyrifera,Populus tremuloides,Tsuga canadensis
393,2007,0,0,0,0,7
394,2011,0,0,0,0,5
395,2006,0,3,0,0,0
396,2007,0,5,0,0,0
397,2011,0,0,0,0,4
398,2008,0,5,0,0,0
399,2012,0,5,0,0,0
400,2006,0,5,0,0,0
401,2009,0,4,0,0,0
402,2011,0,14,0,0,0
403,2008,0,0,0,0,1
404,2009,0,5,0,0,0
405,2012,0,5,0,0,0
406,2011,0,7,0,0,0
407,2010,0,4,0,0,0
408,2008,0,2,0,0,0
409,2009,0,7,0,0,0
410,2006,0,0,0,0,2
411,2009,0,2,0,0,0
412,2012,0,5,0,0,0
413,2012,0,3,0,0,0
414,2012,0,1,0,0,0
415,2010,0,3,0,0,0
416,2005,0,1,0,0,0
417,2012,0,2,0,0,0
418,2008,0,7,0,0,0
419,2006,0,2,0,0,0
420,2011,0,10,0,0,0
421,2006,0,1,0,0,0
422,2006,0,11,0,0,0
423,2006,0,13,0,0,0
424,2005,0,2,0,0,0
425,2008,0,4,0,0,0
426,2009,0,5,0,0,0
427,2009,0,0,0,0,4
428,2009,0,1,0,0,0
429,2011,0,6,0,0,0
430,2006,0,2,0,0,0
431,2005,0,8,0,0,0
432,2009,0,13,0,0,0
433,2006,0,2,0,0,0
434,2003,0,17,0,0,0
435,2011,0,8,0,0,0
436,2011,0,6,0,0,0
437,2009,0,9,0,0,0
438,2009,0,11,0,0,0
439,2011,0,6,0,0,0
440,2006,0,0,0,0,10
441,2009,0,0,0,0,11
442,2011,0,12,0,0,0
443,2006,0,3,0,0,0
444,2009,0,1,0,0,0
445,2008,0,1,0,0,0
446,2006,0,8,0,0,0
447,2006,0,2,0,0,0
448,2011,0,3,0,0,0
449,2008,0,13,0,0,0
450,2008,0,6,0,0,0
451,2006,0,0,0,0,8
452,2011,0,3,0,0,0
453,2011,0,0,0,0,9
454,2010,0,3,0,0,0
455,2008,0,1,0,0,0
456,2012,0,6,0,0,0
457,2005,0,0,0,0,2
458,2005,0,0,0,0,5
459,2009,0,5,0,0,0
460,2008,0,0,0,0,1
461,2010,0,9,0,0,0
462,2008,0,1,0,0,0
463,2011,0,4,0,0,0
464,2012,0,0,0,0,8
465,2008,0,0,0,0,7
466,2005,0,3,0,0,0
467,2008,0,2,0,0,0
468,2010,0,11,0,0,0
469,2012,0,3,0,0,0
470,2008,0,2,0,0,0
471,2011,0,4,0,0,0
472,2010,0,10,0,0,0
473,2008,0,3,0,0,0
