species_code,n,died,year,plot
28731-ACE-SAC,10,1,2010,685633
28731-ACE-SAC,10,1,2010,686420
28731-ACE-SAC,10,1,2010,686428
28731-ACE-SAC,9,1,2010,685253
28731-ACE-SAC,9,1,2010,685426
28731-ACE-SAC,9,1,2010,685456
28731-ACE-SAC,9,1,2010,685483
28731-ACE-SAC,9,1,2010,685633
28731-ACE-SAC,9,1,2010,686420
28731-ACE-SAC,9,1,2010,686428
28731-ACE-SAC,11,3,2010,685253
28731-ACE-SAC,11,3,2010,685426
28731-ACE-SAC,11,3,2010,685456
28731-ACE-SAC,11,3,2010,685483
28731-ACE-SAC,11,3,2010,685633
28731-ACE-SAC,11,3,2010,686420
28731-ACE-SAC,11,3,2010,686428
28731-ACE-SAC,4,3,2006,398527
28731-ACE-SAC,10,1,2007,685420
28731-ACE-SAC,10,1,2007,686060
28731-ACE-SAC,10,1,2007,686235
28731-ACE-SAC,10,1,2007,686525
28731-ACE-SAC,15,14,2007,395725
28731-ACE-SAC,3,0,2011,395633
28731-ACE-SAC,5,1,2005,396115
28731-ACE-SAC,1,0,2006,395682
28731-ACE-SAC,11,0,2009,397649
28731-ACE-SAC,9,2,2007,398639
28731-ACE-SAC,10,0,2007,313999
28731-ACE-SAC,4,1,2009,5997
28731-ACE-SAC,4,1,2009,9204
28731-ACE-SAC,4,1,2009,685396
28731-ACE-SAC,4,1,2009,686218
28731-ACE-SAC,15,0,2009,5997
28731-ACE-SAC,15,0,2009,9204
28731-ACE-SAC,15,0,2009,685396
28731-ACE-SAC,15,0,2009,686218
28731-ACE-SAC,9,2,2009,685232
28731-ACE-SAC,9,2,2009,685387
28731-ACE-SAC,9,2,2009,685709
28731-ACE-SAC,9,2,2009,686627
28731-ACE-SAC,7,0,2009,685232
28731-ACE-SAC,7,0,2009,685387
28731-ACE-SAC,7,0,2009,685709
28731-ACE-SAC,7,0,2009,686627
28731-ACE-SAC,18,1,2009,685232
28731-ACE-SAC,18,1,2009,685387
28731-ACE-SAC,18,1,2009,685709
28731-ACE-SAC,18,1,2009,686627
28731-ACE-SAC,8,0,2005,316055
28731-ACE-SAC,9,6,2008,397860
28731-ACE-SAC,15,0,2010,397697
28731-ACE-SAC,11,1,2009,395539
28731-ACE-SAC,24,4,2012,398405
28731-ACE-SAC,15,1,2009,395485
28731-ACE-SAC,18,1,2006,398731
