sampleID	Season	Site	Date	Type	latitude	longitude	SR	E2_E3	E4_E6	SUVA254	FI	HIX	fresh	DOC	C1	C2	C3	C4	C5	C6	C7	HMWS-C	humic-C	LMWS-C	HMWS-N	humic-N	avgmolmass	molrich	DBE	AI	MLB	H_C	O_C	NH4	NO3	TP	Chla	AGR	FOR	PAV	URG
S4_spring	spring	S4	28.04.16	stream	52.628808	13.453148	0.825	6.742	4.994	2.618	1.703	0.901	0.716	25.01	0.099	0.07	0.051	0.086	0.082	0.023	0.018	0.9	20.06	2.73	0.11	1.22	NA	NA	NA	NA	NA	NA	NA	0.08	0.78	24.8	3.62	100	0	0	0
S5_spring	spring	S5	27.04.16	stream	52.45888	13.612446	0.947	5.448	3.663	2.089	1.958	0.812	0.937	10.01	0.113	0.025	0.055	0.079	0.114	0.076	0.044	0.86	6.07	1.71	0.14	0.37	NA	NA	NA	NA	NA	NA	NA	0.71	3.72	252.25	5.55	0	50	50	0
S6_spring	spring	S6	02.05.16	stream	52.620652	13.410893	0.949	5.648	3.374	2.997	1.471	0.818	0.691	9.7	0.055	0.089	0.046	0.103	0.04	0.035	0.041	1.23	5.93	1.27	0.14	0.35	NA	NA	NA	NA	NA	NA	NA	0.05	0.02	263.52	30.46	50	0	30	20
S7_spring	spring	S7	27.04.16	stream	52.415131	13.562802	0.904	6.736	3.391	2.577	1.64	0.867	0.692	5.73	0.076	0.086	0.052	0.092	0.069	0.028	0.028	0.19	4.41	0.58	0.02	0.16	NA	NA	NA	NA	NA	NA	NA	0.26	0.41	43.61	0	0	0	100	0
H1_summer	summer	H1	28.07.16	river	52.4423916	13.32454071	1.051	5.833	2.991	2.334	1.695	0.801	0.809	10.923	0.097	0.06	0.049	0.113	0.071	0.045	0.045	0.9	5.6	1.9	0.13	0.33	319.533	4884	7.896	0.29	25.594	1.261	0.371	0.34	0.14	220.54	6.05	0	0	60	30
H2_summer	summer	H2	21.07.16	river	52.42641871	13.52039181	1.088	5.229	2.799	2.505	1.839	0.813	0.922	10.79	0.106	0.017	0.051	0.073	0.087	0.059	0.04	1.2	7.6	1.8	0.15	0.53	310.018	4600	8.48	0.322	18.348	1.212	0.381	0.06	3.8	146	0.59	0	0	100	0
H3_summer	summer	H3	25.07.16	stream	52.5256244	13.57913257	0.905	6.53	3.352	2.867	1.581	0.882	0.707	8.14	0.093	0.104	0.051	0.144	0.06	0.028	0.031	0.9	5.9	1.1	0.09	0.28	322.914	5106	8.618	0.319	19.663	1.214	0.375	0.18	0.64	587.97	1.49	50	0	50	0
H4_summer	summer	H4	14.07.16	stream	52.63441954	13.38013089	0.913	6.116	3.862	2.771	1.61	0.878	0.704	9.88	0.08	0.074	0.051	0.066	0.06	0.028	0.028	0.9	7.5	1.1	0.08	0.41	300.819	3656	7.909	0.321	20.104	1.219	0.384	0.08	1.15	384.96	1.19	50	0	10	40
L1_summer	summer	L1	25.07.16	lake	52.50331324	13.54970371	1.175	7.761	3.415	1.826	1.611	0.818	0.851	3.6	0.044	0.062	0.027	0.064	0.031	0.04	0.028	0.6	2.3	0.5	0.05	0.09	319.025	5079	8.707	0.316	18.626	1.214	0.38	0	0	20.53	0.04	0	0	50	50
L2_summer	summer	L2	18.07.16	lake	52.5485618	13.4897245	1.703	5.922	1.596	1.423	1.549	0.684	0.847	10.46	0.024	0.035	0.015	0.066	0.015	0.021	0.039	3	4.8	1	0.21	0.21	331.395	5580	8.598	0.296	21.918	1.242	0.381	0	0	129.57	19.71	0	0	50	50
L3_summer	summer	L3	20.07.16	lake	52.5437973	13.3304851	1.537	9.522	3.569	1.386	1.623	0.711	0.972	10.86	0.021	0.027	0.01	0.019	0.013	0.038	0.022	2.2	7.7	1.3	0.23	0.42	303.646	3519	7.845	0.296	19.665	1.248	0.395	0	0	51.61	3.25	0	0	0	100
L4_summer	summer	L4	02.08.16	lake	52.4641667	13.11488889	1.686	14.287	2.36	1.137	1.664	0.643	0.95	6.64	0.009	0.013	0.004	0.012	0.004	0.012	0.016	0.9	4.9	0.8	0.09	0.3	308.47	4094	7.941	0.294	21.519	1.257	0.383	0	0	14.43	0	0	10	0	90
L5_summer	summer	L5	26.07.16	lake	52.44309799	13.14452751	1.266	8.154	3.188	2.12	1.667	0.813	0.849	7.52	0.043	0.053	0.026	0.056	0.033	0.035	0.026	0.7	5.6	0.9	0.1	0.33	314.234	4865	8.161	0.293	24.954	1.274	0.349	0.05	0.94	40.69	1.31	0	0	100	0
L6_summer	summer	L6	03.08.16	lake	52.44065713	13.21183326	1.296	10.413	3.119	1.642	1.677	0.767	0.94	6.52	0.019	0.026	0.011	0.027	0.013	0.021	0.018	1.3	4.8	0.8	0.09	0.26	324.512	4598	8.382	0.298	21.575	1.26	0.362	0.05	0.6	13.93	0.87	0	60	30	10
L7_summer	summer	L7	01.08.16	lake	52.438367	13.645103	1.074	8.381	3.938	1.886	1.567	0.896	0.761	5.95	0.038	0.06	0.022	0.046	0.024	0.022	0.007	0.6	4.6	0.6	0.08	0.25	324.883	5078	8.974	0.323	16.424	1.199	0.387	0.02	0.01	52.96	7.71	0	70	30	0
P1_summer	summer	P1	26.07.16	pond	52.576935	13.164277	1.14	7.885	4.155	2.292	1.534	0.885	0.718	8.13	0.039	0.052	0.024	0.041	0.025	0.015	0.013	0.8	6.3	0.9	0.09	0.35	285.029	2533	7.566	0.329	20.845	1.258	0.326	0.03	0.01	29.7	0	0	100	0	0
P2_summer	summer	P2	18.07.16	pond	52.567379	13.445491	1.408	7.383	2.26	1.822	1.452	0.779	0.727	10.36	0.013	0.066	0.015	0.065	0.001	0.005	0.022	2.4	6.8	0.9	0.16	0.26	333.3	5475	8.641	0.308	21.187	1.229	0.374	0	0	129.5	16.04	0	0	30	70
P3_summer	summer	P3	28.07.16	pond	52.525732	13.25998298	1.547	5.722	2.769	2.124	1.328	0.854	0.688	11.46	0.044	0.078	0.047	0.069	0.023	0.023	0.03	2.3	8.1	1	0.19	0.38	306.844	3998	8.084	0.317	19.985	1.223	0.382	0	0	48.68	8.35	0	0	50	50
P4_summer	summer	P4	03.08.16	pond	52.57723896	13.34556498	1.028	5.172	2.902	2.552	1.695	0.806	0.795	13.484	0.092	0.058	0.043	0.117	0.06	0.045	0.047	1.1	6.8	2.4	0.24	0.28	277.127	3175	7.114	0.269	32.346	1.316	0.33	2.2	0.02	205.92	2.46	0	0	0	100
P5_summer	summer	P5	19.07.17	pond	52.612075	13.230449	1.341	7.614	4.421	1.734	1.57	0.794	0.747	11.25	0.023	0.024	0.012	0.024	0.014	0.012	0.016	1.8	7.8	1	0.22	0.33	296.456	3154	7.728	0.306	19.594	1.237	0.392	0	0	59.99	2.06	0	100	0	0
P7_summer	summer	P7	20.07.16	pond	52.552818	13.335453	1.298	8.326	3.681	2.05	1.57	0.846	0.738	14.63	0.039	0.045	0.022	0.042	0.024	0.016	0.019	1.8	11.1	1.4	0.2	0.48	328.689	4846	8.513	0.32	19.645	1.217	0.369	0	0	170.49	5.98	0	0	30	70
R1_summer	summer	R1	25.07.16	river	52.42984681	13.68911773	1.082	7.944	16.298	2.325	1.615	0.918	0.597	5.87	0.045	0.072	0.028	0.033	0.031	0	0.014	0.6	4.7	0.9	0.07	0.23	318.405	4878	8.641	0.328	18.532	1.207	0.368	0.07	0.04	46.09	0.04	0	0	100	0
R2_summer	summer	R2	04.08.16	river	52.51934962	13.31959366	1.131	7.464	3.792	2.3	1.577	0.836	0.76	6.58	0.052	0.069	0.029	0.071	0.034	0.027	0.03	0.8	4.8	0.8	0.1	0.24	314.331	4959	8.447	0.31	20.246	1.224	0.379	0.52	0.3	172.52	0	0	0	80	20
R3_summer	summer	R3	19.07.16	river	52.536128	13.216222	1.129	7.233	2.864	2.266	1.648	0.837	0.81	7.64	0.07	0.071	0.035	0.081	0.048	0.041	0.033	0.8	5.5	1.1	0.08	0.27	327.646	5515	8.782	0.304	19.674	1.225	0.388	0.33	1.97	131.24	0.04	0	0	100	0
R4_summer	summer	R4	26.07.16	river	52.57816985	13.1650865	1.082	8.028	5.996	2.326	1.523	0.884	0.697	7.95	0.064	0.09	0.041	0.069	0.041	0.024	0.021	0.6	6.4	0.8	0.08	0.35	321.586	4887	8.613	0.315	20.606	1.235	0.357	0.02	0.07	32.08	0	0	100	0	0
R5_summer	summer	R5	21.07.16	river	52.48935993	13.43949122	1.054	7.298	3.494	2.314	1.73	0.819	0.847	7.6	0.067	0.055	0.033	0.07	0.048	0.046	0.032	0.8	5.7	1.2	0.09	0.32	319.532	5162	8.512	0.312	20.38	1.226	0.374	0.26	2.01	97.65	0.43	0	0	30	70
R6_summer	summer	R6	21.07.16	river	52.4713667	13.49683056	1.13	8.254	4.133	2.193	1.599	0.846	0.773	6.82	0.055	0.065	0.031	0.06	0.037	0.033	0.025	0.7	5	0.9	0.04	0.2	318.467	5069	8.707	0.322	18.268	1.211	0.377	0.09	0.48	65.03	0.08	0	0	100	0
R7_summer	summer	R7	04.08.16	river	52.53689834	13.36759013	0.98	5.893	3.324	2.524	1.858	0.827	0.919	10.07	0.141	0.036	0.07	0.118	0.122	0.086	0.05	0.6	7	1.4	0.12	0.3	316.265	5120	8.402	0.31	21.289	1.23	0.373	0.09	6.96	433.62	0.62	0	0	60	40
S1_summer	summer	S1	20.07.16	stream	52.582089	13.38594	1.001	5.768	3.436	2.808	1.698	0.856	0.824	11.44	0.102	0.067	0.058	0.077	0.081	0.061	0.035	0.6	8.9	1.8	0.09	0.55	323.43	5219	8.8	0.318	18.337	1.21	0.385	0.02	0.12	236.08	0.22	0	0	95	5
S2_summer	summer	S2	20.07.16	stream	52.564883	13.34918	1.287	6.653	2.75	2.195	1.563	0.812	0.763	7.88	0.046	0.06	0.027	0.099	0.031	0.02	0.038	2	4.8	1.1	0.16	0.2	317.449	5198	8.43	0.306	22.278	1.236	0.368	0.52	0.28	81.21	1.57	0	0	50	50
S3_summer	summer	S3	14.07.16	stream	52.623837	13.468827	0.811	6.307	4.554	2.843	1.627	0.932	0.667	16.78	0.106	0.097	0.069	0.082	0.087	0.019	0.015	0.6	13.5	1.4	0.08	0.83	320.083	4886	8.781	0.334	16.946	1.196	0.37	0.13	1.04	1381.05	3.86	0	100	0	0
S5_summer	summer	S5	25.07.16	stream	52.45888	13.612446	1.026	5.561	3.025	2.247	1.962	0.776	0.99	11.44	0.131	0.015	0.058	0.073	0.118	0.109	0.058	0.8	7.1	2.1	0.17	0.35	310.525	4708	8.227	0.303	21.24	1.239	0.382	0.05	6.85	378.57	0	0	50	50	0
S6_summer	summer	S6	29.07.16	stream	52.620652	13.410893	0.879	5.19	2.735	3.072	1.472	0.846	0.623	11.45	0.074	0.093	0.052	0.103	0.046	0.022	0.046	1.4	7.6	1.6	0.17	0.36	318.596	5297	8.191	0.295	25.411	1.253	0.366	1.12	0.42	383.96	0	50	0	30	20
S7_summer	summer	S7	21.07.16	stream	52.415131	13.562802	1.045	6.326	2.6	3.074	1.512	0.857	0.646	9.62	0.082	0.128	0.048	0.164	0.046	0.029	0.045	0.7	6.4	1.7	0.09	0.22	NA	NA	NA	NA	NA	NA	NA	1.17	0	272.36	5.05	0	0	100	0
H1_winter	winter	H1	03.03.17	river	52.4423916	13.32454071	1.036	6.236	2.827	2.158	1.725	0.846	0.804	7.9	0.091	0.048	0.047	0.076	0.07	0.035	0.033	0.5	4.6	1.1	0.08	0.25	318.999	4972	8.567	0.318	19.107	1.214	0.38	0.09	0.06	83.67	3.88	0	0	60	30
H2_winter	winter	H2	27.02.17	river	52.42641871	13.52039181	1.062	5.63	2.578	2.249	1.753	0.824	0.844	9.19	0.104	0.033	0.053	0.08	0.082	0.044	0.042	0.6	5.1	1.5	0.14	0.34	330.801	5316	8.613	0.311	20.203	1.226	0.378	0.25	0.22	148.33	4.05	0	0	100	0
H3_winter	winter	H3	05.03.17	stream	52.5256244	13.57913257	0.934	7.048	15.699	0.497	1.583	0.853	0.701	29.81	0.018	0.02	0.011	0.033	0.012	0.005	0.009	0.4	3.3	1.1	0.06	0.14	315.686	4909	8.176	0.294	23.121	1.242	0.382	0.82	0.05	122.33	0.03	50	0	50	0
H4_winter	winter	H4	28.02.17	stream	52.63441954	13.38013089	0.89	6.369	2.938	2.606	1.567	0.908	0.667	10.27	0.086	0.083	0.055	0.064	0.066	0.018	0.021	0.5	7	0.9	0.09	0.4	317.798	4059	8.664	0.341	15.398	1.181	0.383	0.38	0.03	101.67	-0.41	50	0	10	40
L1_winter	winter	L1	10.03.17	lake	52.50331324	13.54970371	1.108	7.086	1.876	1.418	1.594	0.864	0.764	4.03	0.05	0.058	0.027	0.064	0.036	0.02	0.022	0.1	1.5	0.4	0.02	0.05	327.199	5051	9.062	0.326	15.284	1.192	0.389	0.03	0.01	13.67	6.61	0	0	50	50
L2_winter	winter	L2	14.03.17	lake	52.5485618	13.4897245	1.41	6.84	2.456	0.636	1.598	0.732	0.833	15.97	0.015	0.019	0.009	0.035	0.009	0.009	0.021	1.2	2.6	1	0.17	0.16	328.868	5647	8.519	0.292	22.667	1.246	0.38	0.24	0.03	150.67	3.44	0	0	50	50
L3_winter	winter	L3	20.03.17	lake	52.5437973	13.3304851	1.624	9.436	2.698	1.473	1.554	0.706	0.968	9.27	0.026	0.032	0.013	0.024	0.016	0.044	0.028	1	5.8	1.3	0.18	0.4	319.608	4731	8.38	0.309	19.658	1.231	0.377	0.27	0.02	66.33	1.26	0	0	0	100
L4_winter	winter	L4	19.03.17	lake	52.4641667	13.11488889	1.808	11.928	3.106	1.077	1.383	0.749	0.865	6.59	0.015	0.018	0.007	0.016	0.008	0.013	0.015	0.5	3.8	1	0.08	0.33	321.023	3863	8.152	0.294	18.845	1.241	0.407	0.02	0.01	16	0.95	0	10	0	90
L5_winter	winter	L5	04.03.17	lake	52.44309799	13.14452751	1.022	7.735	3.487	2.033	1.66	0.871	0.766	7.16	0.075	0.07	0.04	0.069	0.055	0.031	0.025	0.4	4.3	1	0.07	0.26	315.795	4582	8.71	0.327	16.237	1.195	0.391	0.18	0.05	48	0.47	0	0	100	0
L6_winter	winter	L6	12.03.17	lake	52.44065713	13.21183326	1.224	9.343	4.089	1.671	1.695	0.794	0.902	6.2	0.054	0.051	0.026	0.064	0.036	0.043	0.033	0.3	3.3	1	0.04	0.26	317.425	4545	8.721	0.325	15.622	1.197	0.391	0.05	0.02	16	0	0	60	30	10
L7_winter	winter	L7	10.03.17	lake	52.438367	13.645103	0.952	7.999	6.461	1.787	1.603	0.882	0.706	7.03	0.058	0.068	0.031	0.057	0.038	0.019	0.017	0.3	3.5	0.7	0.04	0.19	328.051	5199	9.078	0.325	16.099	1.195	0.387	0.08	0.02	26	0	0	70	30	0
P1_winter	winter	P1	12.03.17	pond	52.576935	13.164277	1.049	7.83	3.576	2.159	1.518	0.896	0.693	8.16	0.062	0.078	0.039	0.057	0.043	0.019	0.017	0.6	5.2	0.7	0.08	0.36	326.593	5134	9.038	0.328	15.972	1.193	0.387	0.02	0.02	28.67	0.9	0	100	0	0
P2_winter	winter	P2	13.03.17	pond	52.567379	13.445491	1.193	5.795	3.074	2.237	1.493	0.831	0.734	7.61	0.036	0.045	0.025	0.043	0.021	0.018	0.024	0.9	4	1	0.12	0.21	337.207	5550	8.715	0.307	20.793	1.227	0.377	0.02	0.01	81	14.86	0	0	30	70
P3_winter	winter	P3	07.03.17	pond	52.525732	13.25998298	1.3	7.041	2.903	1.772	1.503	0.774	0.678	8.02	0.028	0.027	0.016	0.026	0.016	0.009	0.024	1	4.2	0.8	0.09	0.24	306.459	3504	7.975	0.32	18.465	1.212	0.396	0.02	0.01	27.33	0.6	0	0	50	50
P4_winter	winter	P4	07.03.17	pond	52.57723896	13.34556498	1.144	5.309	2.029	1.938	1.522	0.763	0.729	5.89	0.049	0.054	0.027	0.104	0.027	0.019	0.049	0.4	1.9	1.2	0.07	0.09	323.647	5294	8.024	0.285	26.521	1.266	0.369	0.76	0.04	56.33	0	0	0	0	100
P5_winter	winter	P5	03.03.17	pond	52.612075	13.230449	1.352	6.692	3.555	1.698	1.529	0.876	0.669	10.4	0.033	0.03	0.016	0.022	0.019	0	0.015	1.4	5.7	1.2	0.23	0.36	321.522	4273	8.111	0.317	21.156	1.226	0.368	0.01	0.01	99	5.89	0	100	0	0
P6_winter	winter	P6	03.03.17	pond	52.638826	13.273774	1.155	4.32	1.861	2.448	1.48	0.722	0.574	9.22	0.04	0.031	0.029	0.042	0.025	0.011	0.055	1.1	3.9	1.2	0.08	0.29	312.318	4045	7.903	0.302	26.873	1.253	0.362	0.19	0.03	196.67	5.15	0	0	65	35
P7_winter	winter	P7	05.03.17	pond	52.552818	13.335453	1.311	7.999	3.639	2.223	1.521	0.841	0.723	12.61	0.036	0.043	0.021	0.036	0.019	0.012	0.02	1.2	9	1.5	0.15	0.55	332.332	5235	9.006	0.317	17.116	1.205	0.39	0.02	0.01	222.33	3.45	0	0	30	70
R1_winter	winter	R1	05.03.17	river	52.42984681	13.68911773	0.885	7.156	6.157	2.332	1.602	0.898	0.672	6.93	0.071	0.077	0.042	0.059	0.051	0.017	0.018	0.3	4.3	1	0.05	0.24	325.607	4859	8.994	0.337	15.106	1.182	0.383	0.07	0.02	35	0	0	0	100	0
R2_winter	winter	R2	01.03.17	river	52.51934962	13.31959366	0.94	8.443	49.762	1.997	1.597	0.893	0.722	6.54	0.073	0.081	0.04	0.068	0.051	0.018	0.021	0.3	3.9	0.7	0.05	0.21	319.451	4739	8.81	0.327	16.079	1.194	0.387	0.13	0.04	34	1.31	0	0	80	20
